Time:2015/6/13 20:28:34-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/13 20:39:39-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/13 20:41:55-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/13 20:42:23-Trace>>OnEntitySyncQueue execute count:2, success:0/total 2, fail:0 start...


Time:2015/6/13 20:42:49-Trace>>OnEntitySyncQueue execute count:3, success:0/total 3, fail:0 start...


Time:2015/6/13 20:44:06-Trace>>OnEntitySyncQueue execute count:3, success:0/total 3, fail:0 start...


Time:2015/6/13 20:45:55-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


Time:2015/6/13 20:46:41-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


Time:2015/6/13 20:47:09-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


Time:2015/6/13 20:47:47-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/13 20:47:48-Trace>>OnEntitySyncQueue execute count:4, success:1/total 5, fail:0 start...


Time:2015/6/13 20:51:21-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


Time:2015/6/13 20:52:30-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


