Time:2015/6/20 14:04:46-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/20 14:06:01-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/20 14:09:25-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/20 14:09:25-Trace>>OnEntitySyncQueue execute count:32, success:32/total 64, fail:0 start...


Time:2015/6/20 14:18:59-Trace>>Action-1004 Uid:1380026 access timeout 1390.9296/500ms.


Time:2015/6/20 14:22:43-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/20 14:23:08-Trace>>OnEntitySyncQueue execute count:1, success:1/total 2, fail:0 start...


Time:2015/6/20 14:29:11-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/20 14:37:01-Trace>>OnEntitySyncQueue execute count:23, success:0/total 23, fail:0 start...


Time:2015/6/20 14:37:01-Trace>>OnEntitySyncQueue execute count:10, success:23/total 33, fail:0 start...


Time:2015/6/20 14:37:13-Trace>>OnEntitySyncQueue execute count:1, success:33/total 34, fail:0 start...


Time:2015/6/20 14:37:52-Trace>>OnEntitySyncQueue execute count:1, success:34/total 35, fail:0 start...


Time:2015/6/20 14:40:26-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2015/6/20 14:40:26-Trace>>OnEntitySyncQueue execute count:23, success:10/total 33, fail:0 start...


Time:2015/6/20 14:40:36-Trace>>OnEntitySyncQueue execute count:1, success:33/total 34, fail:0 start...


