Time:2015/6/14 4:00:00-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 4:00:08-Trace>>OnEntitySyncQueue execute count:1, success:32/total 33, fail:0 start...


Time:2015/6/14 4:01:36-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 4:01:43-Trace>>OnEntitySyncQueue execute count:1, success:32/total 33, fail:0 start...


Time:2015/6/14 4:03:08-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 4:03:17-Trace>>OnEntitySyncQueue execute count:1, success:32/total 33, fail:0 start...


Time:2015/6/14 4:04:38-Trace>>OnEntitySyncQueue execute count:1, success:33/total 34, fail:0 start...


Time:2015/6/14 4:05:43-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 4:05:49-Trace>>OnEntitySyncQueue execute count:1, success:32/total 33, fail:0 start...


Time:2015/6/14 4:06:20-Trace>>OnEntitySyncQueue execute count:1, success:33/total 34, fail:0 start...


Time:2015/6/14 4:07:09-Trace>>OnEntitySyncQueue execute count:1, success:34/total 35, fail:0 start...


