Time:2015/6/20 16:03:36-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2015/6/20 16:04:36-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2015/6/20 16:04:41-Trace>>OnEntitySyncQueue execute count:1, success:10/total 11, fail:0 start...


Time:2015/6/20 16:05:59-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2015/6/20 16:08:42-Trace>>OnEntitySyncQueue execute count:1, success:12/total 13, fail:0 start...


Time:2015/6/20 16:24:57-Trace>>Action-1004 Uid:1380026 access timeout 1194.7968/500ms.


Time:2015/6/20 16:24:57-Trace>>OnEntitySyncQueue execute count:1, success:13/total 14, fail:0 start...


Time:2015/6/20 16:25:03-Trace>>OnEntitySyncQueue execute count:2, success:14/total 16, fail:0 start...


Time:2015/6/20 16:25:04-Trace>>Action-9103 Uid:1380026 access timeout 1402.9351/500ms.


Time:2015/6/20 16:25:04-Trace>>OnEntitySyncQueue execute count:1, success:16/total 17, fail:0 start...


Time:2015/6/20 16:25:19-Trace>>OnEntitySyncQueue execute count:2, success:17/total 19, fail:0 start...


Time:2015/6/20 16:25:19-Trace>>OnEntitySyncQueue execute count:1, success:19/total 20, fail:0 start...


Time:2015/6/20 16:33:40-Trace>>OnEntitySyncQueue execute count:14, success:0/total 14, fail:0 start...


Time:2015/6/20 16:34:39-Trace>>OnEntitySyncQueue execute count:14, success:0/total 14, fail:0 start...


Time:2015/6/20 16:34:39-Trace>>OnEntitySyncQueue execute count:14, success:14/total 28, fail:0 start...


Time:2015/6/20 16:34:52-Trace>>OnEntitySyncQueue execute count:1, success:28/total 29, fail:0 start...


Time:2015/6/20 16:35:13-Trace>>OnEntitySyncQueue execute count:1, success:29/total 30, fail:0 start...


Time:2015/6/20 16:35:53-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2015/6/20 16:35:53-Trace>>OnEntitySyncQueue execute count:23, success:9/total 33, fail:1 start...


Time:2015/6/20 16:35:53-Trace>>OnEntitySyncQueue execute count:14, success:32/total 47, fail:1 start...


Time:2015/6/20 16:36:21-Trace>>OnEntitySyncQueue execute count:1, success:46/total 48, fail:1 start...


Time:2015/6/20 16:37:54-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2015/6/20 16:37:54-Trace>>OnEntitySyncQueue execute count:23, success:10/total 33, fail:0 start...


Time:2015/6/20 16:37:54-Trace>>OnEntitySyncQueue execute count:10, success:33/total 43, fail:0 start...


Time:2015/6/20 16:38:03-Trace>>OnEntitySyncQueue execute count:1, success:43/total 44, fail:0 start...


Time:2015/6/20 16:39:41-Trace>>OnEntitySyncQueue execute count:1, success:44/total 45, fail:0 start...


Time:2015/6/20 16:40:38-Trace>>OnEntitySyncQueue execute count:1, success:45/total 46, fail:0 start...


Time:2015/6/20 16:41:39-Trace>>OnEntitySyncQueue execute count:1, success:46/total 47, fail:0 start...


