Time:2015/6/14 3:06:45-Trace>>Action-1002 Uid:0 access timeout 1170.7208/500ms.


Time:2015/6/14 3:20:23-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/14 3:20:32-Trace>>OnEntitySyncQueue execute count:1, success:1/total 2, fail:0 start...


Time:2015/6/14 3:21:06-Trace>>OnEntitySyncQueue execute count:1, success:2/total 3, fail:0 start...


Time:2015/6/14 3:21:33-Trace>>OnEntitySyncQueue execute count:1, success:3/total 4, fail:0 start...


Time:2015/6/14 3:22:07-Trace>>OnEntitySyncQueue execute count:1, success:4/total 5, fail:0 start...


Time:2015/6/14 3:22:34-Trace>>OnEntitySyncQueue execute count:1, success:5/total 6, fail:0 start...


Time:2015/6/14 3:22:56-Trace>>OnEntitySyncQueue execute count:1, success:6/total 7, fail:0 start...


Time:2015/6/14 3:23:22-Trace>>OnEntitySyncQueue execute count:1, success:7/total 8, fail:0 start...


Time:2015/6/14 3:23:45-Trace>>OnEntitySyncQueue execute count:1, success:8/total 9, fail:0 start...


Time:2015/6/14 3:24:09-Trace>>OnEntitySyncQueue execute count:1, success:9/total 10, fail:0 start...


Time:2015/6/14 3:24:39-Trace>>OnEntitySyncQueue execute count:1, success:10/total 11, fail:0 start...


Time:2015/6/14 3:25:10-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2015/6/14 3:28:48-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2015/6/14 3:34:16-Trace>>OnEntitySyncQueue execute count:10, success:0/total 10, fail:0 start...


Time:2015/6/14 3:35:18-Trace>>OnEntitySyncQueue execute count:11, success:0/total 11, fail:0 start...


Time:2015/6/14 3:36:30-Trace>>OnEntitySyncQueue execute count:11, success:0/total 11, fail:0 start...


Time:2015/6/14 3:36:31-Trace>>OnEntitySyncQueue execute count:22, success:11/total 33, fail:0 start...


Time:2015/6/14 3:37:25-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 3:39:16-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 3:53:52-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 3:54:37-Trace>>OnEntitySyncQueue execute count:1, success:32/total 33, fail:0 start...


Time:2015/6/14 3:57:26-Trace>>OnEntitySyncQueue execute count:1, success:33/total 34, fail:0 start...


Time:2015/6/14 3:57:49-Trace>>OnEntitySyncQueue execute count:1, success:34/total 35, fail:0 start...


